"company";"position";"level";"requirements";"salary1B2BMin";"salary1B2BMax";"salary1UoPMin";"salary1UoPMax";"salary1UZMin";"salary1UZMax";"salary1UoDMin";"salary1UoDMax";"salary2B2BMin";"salary2B2BMax";"salary2UoPMin";"salary2UoPMax";"salary2UZMin";"salary2UZMax";"salary2UoDMin";"salary2UoDMax";"salary3B2BMin";"salary3B2BMax";"salary3UZMin";"salary3UZMax";"url"
"Nivalit sp z o.o.";"DevOps";"Junior";"AWS|Git|continuous integration|Docker|Linux";6000;9000;NA;NA;NA;NA;NA;NA;NA;NA;4500;7000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-remote-devops-engineer-nivalit-yvi0ymgj"
"Dualog";"Fullstack";"Mid";".NET|English|Team player";19000;29000;NA;NA;NA;NA;NA;NA;NA;NA;14000;24000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/net-engineer-fullstack-mid-senior-dualog-krakow-mqlcapq1"
"EBIS";"Business Intelligence";"Junior";"SQL|ETL|SQL Server|PostgreSQL|Azure|Power BI|Critical thinking|Proactivity|Problem solving|Communication skills|Team player|English|Polish";6720;13440;NA;NA;NA;NA;NA;NA;6400;12800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-bi-developer-ebis-remote-g3gqeqrn"
"Nordea Bank ABP";"DevOps";"Junior";"Linux|Git|Ansible|sql|English|ITIL";NA;NA;9000;12000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-devops-nordea-bank-abp-gdansk-1mikff90"
"Bayer";"Inne";"Mid";"Machine Learning|English|Engineering|Python|Agile Methodology|Version Control|CI/CD|AWS|SQL|Docker|Kubernetes|DevOps|NLP&NLU";NA;NA;12000;18000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/machine-learning-engineer-bayer-warszawa-sk83tpw5"
"ProData Consult";"Inne";"Mid";"Architecture|Microsoft SCCM|Microsoft Intune|Active Directory|Utilizing Windows 10 LTSC in an enterprise setting|Configuration of Windows 10 LTSC end points|Virtualization of Windows 10 LTSC end points on-premise|Microsoft Azure or AWS|Regulated environments, preferably Pharma / GxP";36960;42000;NA;NA;NA;NA;NA;NA;35200;40000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/infrastructure-architect-prodata-consult-remote-nougvj27"
"Boldare";"Agile";"Senior";"Product Discovery|Workshops|Agile|Agile methods|Scrum|Lean Startup|Communication skills|Management skills|Team Building|Proactivity|Polish|English";15700;22500;NA;NA;NA;NA;NA;NA;NA;NA;11700;16700;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/agile-lead-boldare-remote-oopumfcy"
"Robot Gentleman";"Marketing";"Mid";"Communication skills|English|Copywriting|Content Marketing|Team player";NA;NA;6250;8385;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-community-social-media-manager-robot-gentleman-qju9oryb"
"Infoniqa Poland";"Backend";"Senior";"Java|Critical thinking|English|ORM|Hibernate|spring framework|Spring Technologies|ms sql|derbyDB|jsp|css|hcm skills";20160;31920;NA;NA;NA;NA;NA;NA;NA;NA;14000;24000;NA;NA;NA;NA;19200;30400;NA;NA;"https://nofluffjobs.com/pl/job/senior-java-engineer-infoniqa-poland-remote-bcdn7ggb"
"Antal Poland";"Frontend";"Mid";"English|React|JavaScript|TypeScript|Git";15000;24000;NA;NA;NA;NA;NA;NA;NA;NA;12000;21000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-reactjs-developer-mid-antal-poland-gtub02bd"
"Devire Sp. z o.o.";"Backend";"Mid";".NET|ASP.NET|MVC|Web API|MS SQL|TDD|Entity Framework|NUnit|English";23520;26880;NA;NA;NA;NA;NA;NA;22400;25600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/net-developer-devire-remote-33fcyl9i"
"Robotec.ai";"AI";"Mid";"Python|AWS|Machine Learning|Docker|MLflow|Kubeflow|Amazon SageMaker";15000;23000;NA;NA;NA;NA;NA;NA;NA;NA;14000;21000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/machine-learning-engineer-mlops-robotec-ai-warszawa-8qw7xdlk"
"INVESTIT SYSTEMS Sp. z o.o.";"Backend";"Junior";"PHP|Git|REST|API|Laravel|MySQL";5040;6720;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3360;5040;NA;NA;4800;6400;NA;NA;"https://nofluffjobs.com/pl/job/junior-remote-laravel-developer-investit-systems-qzpgn5ig"
"Byte Barrel";"Gaming";"Trainee";"Blender &Substance Painter";NA;NA;NA;NA;4200;7000;NA;NA;NA;NA;4200;7000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/mlodszy-grafik-3d-gamedev-byte-barrel-gdansk-6ka28loi"
"papernest";"Backend";"Senior";"Python|Django";27000;29000;NA;NA;NA;NA;NA;NA;NA;NA;22000;24000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-senior-python-engineer-papernest-i4or90ie"
"SoftServe";"DevOps";"Senior";"Microsoft Azure|Linux|Docker|Python|Shell|Jenkins|Git|Terraform|Virtualization|English|Team player|Communication skills|Critical thinking|Problem solving|Proactivity|Leadership skills|Kubernetes|CI/CD";20000;32000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/azure-senior-lead-devops-cloud-architect-softserve-remote-qgwshwud"
"Syderal Polska Sp. z o.o.";"Design";"Junior";"English|Python|Communication skills|Problem solving|Proactivity";NA;NA;8000;10000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-test-engineer-syderal-polska-gdansk-m6jtvfds"
"Ideamotive";"Testing";"Junior";"JavaScript|English|Polish|Communication skills|Problem solving|Postman|Team player|Swagger|Gherkin|git|Minimum 1 year in automation testing";18000;20000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-automation-tester-with-javascript-ideamotive-77n0tfhq"
"Codibly";"Backend";"Senior";".NET|Azure|MS SQL|English|PowerBI|Databrics|Polish";26000;33000;NA;NA;NA;NA;NA;NA;NA;NA;22000;27000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/solution-architect-net-codibly-remote-8gscbzgv"
"Flytronic S.A.";"Embedded";"Junior";"C++|Python";NA;NA;5000;7000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-c-embedded-developer-aircrafts-flytronic-gliwice-cuxpu6lu"
"Ideamotive";"Frontend";"Junior";"React|JavaScript|CSS|HTML|Git|TypeScript|English|Polish|Communication skills|Team player|Proactivity|2lata komercyjnego doświadczenia z React.js";20000;28000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-frontend-developer-react-ideamotive-1nrrvndb"
"Kambu";"Frontend";"Junior";"JavaScript|React|Git|CSS|HTML|English|Polish|Communication skills|Problem solving|redux|REST|ECMAScript";6000;10000;NA;NA;NA;NA;NA;NA;NA;NA;5500;8400;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-frontend-developer-kambu-krakow-bp5czezi"
"BigCom spółka z o.o.";"Backend";"Junior";"PHP";4000;8000;NA;NA;NA;NA;NA;NA;NA;NA;3000;6000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-php-developer-bigcom-spolka-z-o-o-remote-kfbixjto"
"Ideamotive";"Testing";"Junior";"SQL|English|Polish|Communication skills|Problem solving|JIRA|Postman|Team player|min 1 year in manual testing commercial experience";11000;13000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-junior-manual-qa-engineer-ideamotive-yvrv7xpe"
"AVENGA";"Big Data";"Mid";"SQL|Mongo DB|Spark";16000;24500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/data-engineer-avenga-remote-gu7mbxew"
"Knowit Poland Sp. z o.o.";"Mobile";"Mid";"android|Kotlin|android sdk|English";20000;30000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-mid-senior-android-developer-knowit-poland-t4ntjgh0"
"Devire Sp. z o.o.";"Testing";"Mid";"manual testing|API testing|Virtual Machines|Test documentation|English";11760;18480;NA;NA;NA;NA;NA;NA;11200;17600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/qa-manual-engineer-devire-remote-wjykuulg"
"No Fluff Jobs";"Marketing";"Senior";"Doświadczenie w prowadzeniu komunikacji do branży IT|Wiedza i umiejętności związane z budowaniem społeczności B2C|Znajomość języka angielskiego na poziomie min B2|Doskonała orientacja w tematyce social mediów|Znajomość trendów w branży IT i gamingu|Doświadczeniu w prowadzeniu zespołu|Proaktywne podejście do zadań|Teamplayer!";8000;12000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/marketing-lead-for-it-community-no-fluff-jobs-remote-yah1xmfu"
"No Fluff Jobs";"Marketing";"Mid";"3-5 lat doświadczenia w realizowaniu działań z zakresu marketing automation w Polsce|Doświadczenie w realizacji i optymalizacji działań e-mail marketingowych, sms, web-push i innych|Doświadczenie we współtworzeniu strategii oraz customer journey dla działań marketingowych|Znajomość języka angielskiego na poziomie min B2|Umiejętność analizy prowadzonych działań, wyciągania wniosków i tworzenia rekomendacji|Znajomość i zrozumienie aktualnych trendów z zakresu marketing. automation|Nastawienie na współpracę i wzajemną wymianę wiedzy|Proaktywność w zakresie poszukiwania rozwiązań";7000;12000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-marketing-automation-specialist-no-fluff-jobs-remote-5wgg2mte"
"Robotec.ai";"Backend";"Mid";"C++|Linux|Docker|git|design patterns|English|CI|unit test|Communication skills|Team player|Proactivity";14000;24000;NA;NA;NA;NA;NA;NA;NA;NA;12000;21000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/mid-senior-c-software-engineer-robotec-ai-warszawa-26wdifbk"
"AVENGA";"Backend";"Senior";"Java|Spring|SQL";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-java-engineer-avenga-remote-npdyplqx"
"Infosys Consulting";"Big Data";"Mid";"SQL|Spark|ETL|Data Engineering|Python|English- Communicative";NA;NA;20000;28000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-cloud-data-engineer-infosys-consulting-1lmi0vdy"
"ESET";"Backend";"Mid";"C++|STL|English";NA;NA;13000;15500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/mid-c-backend-developer-in-advheur-eset-krakow-kjvhanvg"
"EBIS";"Business Intelligence";"Senior";"SQL|ETL|SQL Server|PostgreSQL|Power BI|Azure|English|Polish|Team player|Communication skills|Critical thinking|Problem solving|Proactivity";16800;23520;NA;NA;NA;NA;NA;NA;16000;22400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-bi-developer-with-power-bi-ebis-remote-go6lpz5z"
"Canon Ophthalmic sp. z o. o.";"Fullstack";"Mid";"Angular|.NET|English|3 years of experience in web application development";15200;21000;NA;NA;NA;NA;NA;NA;NA;NA;12500;17500;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-angular-fullstack-developer-canon-ophthalmic-1ppsk2tj"
"BNY Mellon";"Backend";"Trainee";"Java|English";NA;NA;6666;7166;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/2022-setup-technology-full-time-program-bny-mellon-remote-arwedjxp"
"Angry Nerds";"Frontend";"Junior";"Angular|JavaScript|CSS|HTML|REST|Ajax|Git|Git Flow|English";4000;7000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-angular-developer-angry-nerds-remote-i9lekvwe"
"ESET";"Backend";"Mid";"C++|English";NA;NA;11000;13500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/mid-c-developer-in-code-security-audit-eset-krakow-qwht3lpx"
"ESET";"Testing";"Mid";"Python|English|Hands-on experience with test automation|Knowledge of software testing process & methodologies|Windows knowledge|TCP/IP networking: configuration and diagnostic|2-year experience in software testing";NA;NA;9000;15800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-agile-test-engineer-eset-i19cfdz9"
